"uri","answering body","answer > is ministerial correction","answer > date of answer","answer > answer text","answer > answering member constituency","answer > answering member printed","answer > grouped question UIN","answer > question first answered","answer > uri","answer > answering member","answer > answering member > uri","answer > uri","answer > attachment > file name","answer > attachment > title","answer > uri","answer > previous answer version > answering member constituency","answer > previous answer version > answering member printed","answer > previous answer version > uri","answer > previous answer version > answering member > label","answering dept id","answering dept short name","answering dept sort name","date","hansard heading","house id","legislature > pref label","question text","registered interest","tabling member","tabling member > uri","tabling member constituency","tabling member printed","uin"
"http://data.parliament.uk/resources/1721993","Department of Health and Social Care","false","2024-07-23","<p>Human immunodeficiency virus (HIV) is a priority for the Government, and we will commission a new plan to end new HIV transmissions within England by 2030. As part of our work in developing a new plan, we will explore options for ensuring equity and equal access to pre-exposure prophylaxis (PrEP) for all communities, including those across different risk, demographic, and geographic groups. We will also explore opportunities to deliver PrEP in settings outside of sexual health services, to improve access and equity, including considering online PrEP provision and PrEP in pharmacies.</p>","Gorton and Denton","Andrew Gwynne","788","2024-07-23T09:28:11.353Z","http://data.parliament.uk/resources/1721993/answer","Biography information for Andrew Gwynne","http://data.parliament.uk/members/1506","http://data.parliament.uk/resources/1721993/answer",,,"http://data.parliament.uk/resources/1721993/answer",,,,,"17","Health and Social Care","Health and Social Care","2024-07-18","HIV Infection: Drugs","1","House of Commons","To ask the Secretary of State for Health and Social Care, if he will make an assessment of the potential merits of making pre-exposure prophylaxis (PrEP) available (a) in pharmacies and (b) from an online service.","false","5314","http://data.parliament.uk/members/5314","Brighton Pavilion","Siân Berry","782"
"http://data.parliament.uk/resources/1721994","Department of Health and Social Care","false","2024-07-23","<p>Human immunodeficiency virus (HIV) is a priority for the Government, and we will commission a new plan to end new HIV transmissions within England by 2030. As part of our work in developing a new plan, we will explore options for ensuring equity and equal access to pre-exposure prophylaxis (PrEP) for all communities, including those across different risk, demographic, and geographic groups. We will also explore opportunities to deliver PrEP in settings outside of sexual health services, to improve access and equity, including considering online PrEP provision and PrEP in pharmacies.</p>","Gorton and Denton","Andrew Gwynne","782","2024-07-23T09:28:11.417Z","http://data.parliament.uk/resources/1721994/answer","Biography information for Andrew Gwynne","http://data.parliament.uk/members/1506","http://data.parliament.uk/resources/1721994/answer",,,"http://data.parliament.uk/resources/1721994/answer",,,,,"17","Health and Social Care","Health and Social Care","2024-07-18","HIV Infection: Drugs","1","House of Commons","To ask the Secretary of State for Health and Social Care, what steps he is taking to ensure communities have equal access to pre-exposure prophylaxis (PrEP) across different (a) risk, (b) demographic and (c) geographic groups.","false","5314","http://data.parliament.uk/members/5314","Brighton Pavilion","Siân Berry","788"
"http://data.parliament.uk/resources/1722017","Department for Work and Pensions","false","2024-07-23","<p>The UK has experienced a recent rise in unemployment. It has also seen a rise in economic inactivity since the pandemic of 833,000 with long-term sickness rising to 2.8m. The UK remains the only nation in the G7 with an employment rate lower than before the COVID-19 pandemic.</p><p><strong> </strong></p><p>The headline UK unemployment level was 2.508 million in March-May 2010 (based on people aged 16 and over). In March-May 2024 (the latest month for which figures are available) the UK unemployment level was 1.528 million.</p><p> </p><p>The headline UK unemployment rate was 7.9% in March-May 2010 (this is also estimated on a 16+ basis). In March-May 2024 (the latest month for which figures are available) the UK unemployment rate was 4.4%.</p>","Birkenhead","Alison McGovern",,"2024-07-23T13:34:56.403Z","http://data.parliament.uk/resources/1722017/answer","Biography information for Alison McGovern","http://data.parliament.uk/members/4083","http://data.parliament.uk/resources/1722017/answer",,,"http://data.parliament.uk/resources/1722017/answer",,,,,"29","Work and Pensions","Work and Pensions","2024-07-18","Unemployment","1","House of Commons","To ask the Secretary of State for Work and Pensions, how many and what proportion of working age people were unemployed in (a) May 2010 and (b) the last month for which figures are available.","false","Biography information for Mr Richard Holden","http://data.parliament.uk/members/4813","Basildon and Billericay","Mr Richard Holden","706"
"http://data.parliament.uk/resources/1722018","Treasury","false","2024-07-23","<p>The annual deficit in 2009-2010 was 10.3% of GDP and 4.5% of GDP in 2023-24.</p><p> </p><p>The Office of National Statistics (ONS) does not publish the annual deficit in real terms. In order to remove the effects of inflation and provide an indication of a country’s ability to service borrowing and debt, it is typical to compare fiscal aggregates as a percentage of GDP, which represents the scale of the aggregate in comparison to the size of the economy at the relevant time.</p><p> </p><p>In nominal terms, the annual deficit was £160.9bn in 2009-2010 and £122.1bn in 2023-24.</p><p> </p><p>As a proportion of government spending, the annual deficit was 22.2% in 2009-2010 and 10.0% in 2023-24.</p><p> </p><p>More information is available on the ONS’ website under “Public sector finances, UK Statistical bulletins”.</p>","Bristol North West","Darren Jones",,"2024-07-23T17:42:52.233Z","http://data.parliament.uk/resources/1722018/answer","Biography information for Darren Jones","http://data.parliament.uk/members/4621","http://data.parliament.uk/resources/1722018/answer",,,"http://data.parliament.uk/resources/1722018/answer",,,,,"14","Treasury","Treasury","2024-07-18","Public Expenditure","1","House of Commons","To ask the Chancellor of the Exchequer, what the annual deficit was (a) in percentage of GDP, (b) in 2010 real terms and (c) as a proportion of government spending in the financial year (i) 2009-10 and (ii) 2023-24.","false","Biography information for Mr Richard Holden","http://data.parliament.uk/members/4813","Basildon and Billericay","Mr Richard Holden","707"
"http://data.parliament.uk/resources/1722020","Department of Health and Social Care","false",,"<p>The Department of Health and Social Care has indicated that it will not be possible to answer this question within the usual time period. An answer is being prepared and will be provided as soon as it is available.</p>","Bristol South","Karin Smyth",,,"http://data.parliament.uk/resources/1722020/answer","Biography information for Karin Smyth","http://data.parliament.uk/members/4444","http://data.parliament.uk/resources/1722020/answer",,,"http://data.parliament.uk/resources/1722020/answer",,,,,"17","Health and Social Care","Health and Social Care","2024-07-18","Attention Deficit Hyperactivity Disorder: Drugs","1","House of Commons","To ask the Secretary of State for Health and Social Care, what steps his Department is taking to improve the (a) supply and (b) availability of ADHD medications.","false","Biography information for Dan Carden","http://data.parliament.uk/members/4651","Liverpool Walton","Dan Carden","666"
"http://data.parliament.uk/resources/1722021","Department of Health and Social Care","false","2024-07-23","<p>Pharmacies play a vital role in our healthcare system. We are committed to expanding the role of pharmacies and to better utilising the skills of pharmacists and pharmacy technicians, including by cutting red tape.</p><p>The Department and NHS England are currently consulting Community Pharmacy England on the contractual arrangements for community pharmacies in England including Liverpool Walton for 2024/25.</p>","Aberafan Maesteg","Stephen Kinnock",,"2024-07-23T15:44:25.697Z","http://data.parliament.uk/resources/1722021/answer","Biography information for Stephen Kinnock","http://data.parliament.uk/members/4359","http://data.parliament.uk/resources/1722021/answer",,,"http://data.parliament.uk/resources/1722021/answer",,,,,"17","Health and Social Care","Health and Social Care","2024-07-18","Pharmacy","1","House of Commons","To ask the Secretary of State for Health and Social Care, what steps his Department is taking to support community pharmacies in (a) Liverpool Walton constituency and (b) England.","false","Biography information for Dan Carden","http://data.parliament.uk/members/4651","Liverpool Walton","Dan Carden","667"
"http://data.parliament.uk/resources/1722023","Treasury","false","2024-07-23","<p>The Government recognises the importance of banking to communities and high streets. The Government has therefore committed to work closely with banks to roll out at least 350 banking hubs, which provide individuals and businesses up and down the country with critical cash and banking services.</p><p> </p><p>Currently, when a branch closes or a community makes a request, LINK (the operator of the UK’s largest ATM network) is responsible for assessing whether a banking hub would be a suitable recommendation for a community. The criteria that LINK uses to assess the needs of a local community can be found on <a href="https://www.link.co.uk/help-centre/how-we-assess-access-to-cash-in-communities" target="_blank">LINK’s website</a>.</p><p> </p><p>In December last year, the Financial Conduct Authority consulted on its regulatory approach to access to cash, including the criteria it proposes designated entities should use when assessing the needs of local communities. This can be found <a href="https://www.fca.org.uk/publication/consultation/cp23-29.pdf" target="_blank">here</a>. The FCA intends to publish its final rules in the third quarter of this year.</p>","Hampstead and Highgate","Tulip Siddiq",,"2024-07-23T14:09:09.817Z","http://data.parliament.uk/resources/1722023/answer","Biography information for Tulip Siddiq","http://data.parliament.uk/members/4518","http://data.parliament.uk/resources/1722023/answer",,,"http://data.parliament.uk/resources/1722023/answer",,,,,"14","Treasury","Treasury","2024-07-18","Banking Hubs","1","House of Commons","To ask the Chancellor of the Exchequer, what criteria she plans to use to identify potential locations for new banking hubs.","false","Biography information for Dan Carden","http://data.parliament.uk/members/4651","Liverpool Walton","Dan Carden","668"
"http://data.parliament.uk/resources/1722027","Treasury","false","2024-07-23","<p>The Government recognises the important contribution that co-operatives make to the economy, serving local communities around the UK and ensuring the UK has a diverse business sector with their model of shared ownership. Co-operatives, alongside other mutuals in the UK, had combined annual revenues of £87.9 billion in 2022, equating to 3.5% of UK GDP.</p><p> </p><p>The Government is committed to supporting the UK’s co-operative and mutuals sector and will be working closely with the sector to address any barriers that it currently faces.</p>","Hampstead and Highgate","Tulip Siddiq",,"2024-07-23T14:51:44.693Z","http://data.parliament.uk/resources/1722027/answer","Biography information for Tulip Siddiq","http://data.parliament.uk/members/4518","http://data.parliament.uk/resources/1722027/answer",,,"http://data.parliament.uk/resources/1722027/answer",,,,,"14","Treasury","Treasury","2024-07-18","Cooperatives","1","House of Commons","To ask the Chancellor of the Exchequer, what steps her Department plans to take to support co-operatives.","false","Biography information for Dan Carden","http://data.parliament.uk/members/4651","Liverpool Walton","Dan Carden","671"
"http://data.parliament.uk/resources/1722028","Ministry of Housing, Communities and Local Government","false","2024-07-23","<p>Local housing authorities are able to introduce selective licensing of landlords in targeted areas to tackle specific problems, if the statutory requirements are met.</p><p>Since 2015, new or renewed schemes which cover more than 20% of a local authority’s private rented stock or geographical area require approval from the Secretary of State.</p><p>We will keep this 20% threshold under review in light of our proposals for devolution and supporting improving rented sector standards.</p>","Greenwich and Woolwich","Matthew Pennycook",,"2024-07-23T16:24:24.427Z","http://data.parliament.uk/resources/1722028/answer","Biography information for Matthew Pennycook","http://data.parliament.uk/members/4520","http://data.parliament.uk/resources/1722028/answer",,,"http://data.parliament.uk/resources/1722028/answer",,,,,"7","Housing, Communities and Local Government","Housing, Communities and Local Government","2024-07-18","Landlords: Licensing","1","House of Commons","To ask the Secretary of State for Housing, Communities and Local Government, whether her Department plans to return landlord licensing powers to local authorities.","false","Biography information for Dan Carden","http://data.parliament.uk/members/4651","Liverpool Walton","Dan Carden","672"
"http://data.parliament.uk/resources/1722030","Ministry of Justice","false","2024-07-23","<p>Information about appeals to the First-tier Tribunal for Special Educational Needs and Disability (SEND) is published at: <a href="http://www.gov.uk/government/collections/tribunals-statistics" target="_blank">www.gov.uk/government/collections/tribunals-statistics.</a></p><p>The table below sets out the number of appeals to the SEND Tribunal against decisions made by Birmingham City Council for the academic years 2019 to 2022 (the latest period for which data are available); and the numbers of those appeals that were (i) determined in favour of the appellants, (ii) determined in favour of the local authority, (iii) withdrawn, (iv) conceded before the hearing, and (v) still awaiting a hearing.</p><p>Appellants would include appeals made by parents and young persons.</p><table><tbody><tr><td><p>Academic year</p></td><td><p>Total appeals registered</p></td><td><p>Total appeals determined in favour of the appellants</p></td><td><p>Total appeals determined in favour of the local authority</p></td><td><p>Total appeals withdrawn</p></td><td><p>Conceded before the hearing</p></td><td><p>Awaiting a hearing date</p></td></tr><tr><td><p>2020</p></td><td><p>291</p></td><td><p>180</p></td><td><p>10</p></td><td><p>32</p></td><td><p>65</p></td><td><p>0</p></td></tr><tr><td><p>2021</p></td><td><p>547</p></td><td><p>367</p></td><td><p>31</p></td><td><p>48</p></td><td><p>89</p></td><td><p>1</p></td></tr><tr><td><p>2022</p></td><td><p>525</p></td><td><p>365</p></td><td><p>10</p></td><td><p>52</p></td><td><p>84</p></td><td><p>12</p></td></tr><tr><td><p>2023</p></td><td colspan="6"><p>Data is not currently published</p></td></tr></tbody></table><p> </p><p>1- Appeal data is only available for 3 years due to record retention policy.</p><p>2- Appeals registered and appeals concluded will not tally due to spanning over academic years.</p>","Swindon South","Heidi Alexander",,"2024-07-23T11:19:05.787Z","http://data.parliament.uk/resources/1722030/answer","Biography information for Heidi Alexander","http://data.parliament.uk/members/4038","http://data.parliament.uk/resources/1722030/answer",,,"http://data.parliament.uk/resources/1722030/answer",,,,,"54","Justice","Justice","2024-07-18","Special Educational Needs: Tribunals","1","House of Commons","To ask the Secretary of State for Justice, how many parents or young people have taken Birmingham City Council to appeal at a tribunal against an Education, Care and Health Plan decision in each of the last five years; and what (a) number and (b) proportion of those appeals were (i) determined in favour of the appellants, (ii) determined in favour of the local authority, (iii) withdrawn, (iv) conceded before the hearing, and (v) still awaiting a hearing.","false","5234","http://data.parliament.uk/members/5234","Birmingham Northfield","Laurence Turner","763"
"http://data.parliament.uk/resources/1722034","Department for Transport","false","2024-07-22","<p>There has not been a recent assessment of the adequacy of regulations on towing of trailers by motorcycles, and there are no plans to review or amend the Road Vehicles (Construction and Use) Regulations in relation to these matters. Nothing has been identified to the Department to indicate that there is a need to amend Regulations at this time.</p><p> </p>","Nottingham South","Lilian Greenwood",,"2024-07-22T15:22:57.947Z","http://data.parliament.uk/resources/1722034/answer","Biography information for Lilian Greenwood","http://data.parliament.uk/members/4029","http://data.parliament.uk/resources/1722034/answer",,,"http://data.parliament.uk/resources/1722034/answer",,,,,"27","Transport","Transport","2024-07-18","Motorcycles","1","House of Commons","To ask the Secretary of State for Transport, what recent assessment she has made of the adequacy of regulations on motorcycles towing trailers; and whether she plans to (a) review and (b) amend those regulations.","false","Biography information for Gill Furniss","http://data.parliament.uk/members/4571","Sheffield Brightside and Hillsborough","Gill Furniss","639"
"http://data.parliament.uk/resources/1722041","Department of Health and Social Care","false","2024-07-23","<p>Data provided by NHS England Digital shows that in May 2014, the earliest year from which data is available, there were 15 open general practices (GPs) in the Altrincham and Sale West constituency, and as of May 2024 there are 12 open GPs in the constituency. The data only includes main practices, and does not include branch practices.</p>","Aberafan Maesteg","Stephen Kinnock",,"2024-07-23T16:19:46.557Z","http://data.parliament.uk/resources/1722041/answer","Biography information for Stephen Kinnock","http://data.parliament.uk/members/4359","http://data.parliament.uk/resources/1722041/answer",,,"http://data.parliament.uk/resources/1722041/answer",,,,,"17","Health and Social Care","Health and Social Care","2024-07-18","General Practitioners: Altrincham and Sale West","1","House of Commons","To ask the Secretary of State for Health and Social Care, what recent estimate his Department has made of the number of open GP practices in Altrincham and Sale West constituency (a) on the most recent date for which figures are available and (b) in 2010.","false","5159","http://data.parliament.uk/members/5159","Altrincham and Sale West","Mr Connor Rand","736"
"http://data.parliament.uk/resources/1722050","Department for Environment, Food and Rural Affairs","false","2024-07-23","<p>The government committed in its manifesto to banning the import of hunting trophies.</p>","Cambridge","Daniel Zeichner",,"2024-07-23T16:35:45.58Z","http://data.parliament.uk/resources/1722050/answer","Biography information for Daniel Zeichner","http://data.parliament.uk/members/4382","http://data.parliament.uk/resources/1722050/answer",,,"http://data.parliament.uk/resources/1722050/answer",,,,,"13","Environment, Food and Rural Affairs","Environment, Food and Rural Affairs","2024-07-18","Animal Products: Imports","1","House of Commons","To ask the Secretary of State for Environment, Food and Rural Affairs, whether he plans to bring forward legislative proposals to ban the import of hunting trophies.","false","Biography information for Jeremy Corbyn","http://data.parliament.uk/members/185","Islington North","Jeremy Corbyn","591"
"http://data.parliament.uk/resources/1722051","Department for Environment, Food and Rural Affairs","false","2024-07-23","<p>Ministers are reviewing policies, which will be announced in the usual way, including the consultation on the Fur Market in Great Britain. Defra is continuing to build the evidence base on the fur sector. This includes commissioning our expert Animal Welfare Committee (AWC) on what constitutes responsible sourcing of fur. The report that they produce will support our understanding of the fur industry and help inform our next steps.</p><p> </p><p>We have some of the highest animal welfare standards in the world and this Labour Government will introduce the most ambitious programme for animal welfare in a generation.</p>","Cambridge","Daniel Zeichner",,"2024-07-23T16:55:26.337Z","http://data.parliament.uk/resources/1722051/answer","Biography information for Daniel Zeichner","http://data.parliament.uk/members/4382","http://data.parliament.uk/resources/1722051/answer",,,"http://data.parliament.uk/resources/1722051/answer",,,,,"13","Environment, Food and Rural Affairs","Environment, Food and Rural Affairs","2024-07-18","Furs: Trade","1","House of Commons","To ask the Secretary of State for Environment, Food and Rural Affairs, whether he plans to respond to the consultation entitled the Fur market in Great Britain, published on 31 May 2021.","false","Biography information for Jeremy Corbyn","http://data.parliament.uk/members/185","Islington North","Jeremy Corbyn","592"
